,State,Month,Age,Vaccine,Republican.Rep.,Democratics.Rep.,Region,Season
50,Wisconsin,Jul,1,0.633333333,0.42,0.42,Midwest,Far
51,Wyoming,Jul,1,0,0.57,0.25,West,Far
52,Alabama,Aug,1,5.9,0.52,0.35,South,Far
53,Alaska,Aug,1,5.466666667,0.39,0.32,West,Far
54,Arizona,Aug,1,6.966666667,0.4,0.39,West,Far
55,Arkansas,Aug,1,3.533333333,0.46,0.38,South,Far
56,California,Aug,1,7.566666667,0.3,0.49,West,Far
57,Colorado,Aug,1,5.166666667,0.41,0.42,West,Far
58,Connecticut,Aug,1,5.5,0.32,0.5,Northeast,Far
59,Delaware,Aug,1,6.6,0.29,0.55,South,Far
60,District of Columbia,Aug,1,8.1,NA,NA,South,Far
61,Florida,Aug,1,9.1,0.37,0.44,South,Far
62,Georgia,Aug,1,6.8,0.41,0.41,South,Far
63,Hawaii,Aug,1,8.933333333,0.28,0.51,West,Far
64,Idaho,Aug,1,0.833333333,0.49,0.32,West,Far
65,Illinois,Aug,1,6.1,0.33,0.48,Midwest,Far
66,Indiana,Aug,1,5.666666667,0.42,0.37,Midwest,Far
67,Iowa,Aug,1,4.533333333,0.41,0.4,Midwest,Far
68,Kansas,Aug,1,6,0.46,0.31,Midwest,Far
69,Kentucky,Aug,1,8.333333333,0.44,0.43,South,Far
70,Louisiana,Aug,1,6.433333333,0.41,0.43,South,Far
71,Maine,Aug,1,2.9,0.36,0.47,Northeast,Far
72,9yland,Aug,1,5.066666667,0.31,0.55,South,Far
73,Massachusetts,Aug,1,5.833333333,0.27,0.56,Northeast,Far
74,Michigan,Aug,1,3.533333333,0.34,0.47,Midwest,Far
75,Minnesota,Aug,1,1.966666667,0.39,0.46,Midwest,Far
76,Mississippi,Aug,1,4.666666667,0.44,0.42,South,Far
77,Missouri,Aug,1,5.366666667,0.41,0.42,Midwest,Far
78,Montana,Aug,1,2.533333333,0.49,0.3,West,Far
79,Nebraska,Aug,1,5.266666667,0.47,0.36,Midwest,Far
80,Nevada,Aug,1,5.766666667,0.37,0.46,West,Far
81,New Hampshire,Aug,1,2.7,0.35,0.44,Northeast,Far
82,New Jersey,Aug,1,5.066666667,0.3,0.51,Northeast,Far
83,New Mexico,Aug,1,6.433333333,0.37,0.48,West,Far
84,New York,Aug,1,5.766666667,0.28,0.53,Northeast,Far
85,North Carolina,Aug,1,7.3,0.41,0.43,South,Far
86,North Dakota,Aug,1,4.3,0.5,0.33,Midwest,Far
87,Ohio,Aug,1,4.666666667,0.42,0.4,Midwest,Far
88,Oklahoma,Aug,1,5.1,0.45,0.4,South,Far
89,Oregon,Aug,1,4.166666667,0.32,0.47,West,Far
90,Pennsylvania,Aug,1,5.3,0.39,0.46,Northeast,Far
91,Rhode Island,Aug,1,3.6,0.3,0.48,Northeast,Far
92,South Carolina,Aug,1,6.3,0.43,0.39,South,Far
93,South Dakota,Aug,1,1.9,0.53,0.37,Midwest,Far
94,Tennessee,Aug,1,5.033333333,0.48,0.36,South,Far
95,Texas,Aug,1,7.433333333,0.39,0.4,South,Far
96,Utah,Aug,1,2.066666667,0.54,0.3,West,Far
97,Vermont,Aug,1,1.6,0.29,0.57,Northeast,Far
98,Virginia,Aug,1,6.266666667,0.43,0.39,South,Far
99,Washington,Aug,1,6.233333333,0.33,0.44,West,Far
100,West Virginia,Aug,1,5.033333333,0.43,0.41,South,Far
101,Wisconsin,Aug,1,4.333333333,0.42,0.42,Midwest,Far
102,Wyoming,Aug,1,1.7,0.57,0.25,West,Far
103,Alabama,Sep,1,16.93333333,0.52,0.35,South,Near
104,Alaska,Sep,1,13.7,0.39,0.32,West,Near
105,Arizona,Sep,1,16.56666667,0.4,0.39,West,Near
106,Arkansas,Sep,1,14.16666667,0.46,0.38,South,Near
107,California,Sep,1,20.26666667,0.3,0.49,West,Near
108,Colorado,Sep,1,16.03333333,0.41,0.42,West,Near
109,Connecticut,Sep,1,18.23333333,0.32,0.5,Northeast,Near
110,Delaware,Sep,1,18.46666667,0.29,0.55,South,Near
111,District of Columbia,Sep,1,21.9,NA,NA,South,Near
112,Florida,Sep,1,20.26666667,0.37,0.44,South,Near
113,Georgia,Sep,1,17.43333333,0.41,0.41,South,Near
114,Hawaii,Sep,1,18.66666667,0.28,0.51,West,Near
115,Idaho,Sep,1,10.4,0.49,0.32,West,Near
116,Illinois,Sep,1,15.9,0.33,0.48,Midwest,Near
117,Indiana,Sep,1,15.23333333,0.42,0.37,Midwest,Near
118,Iowa,Sep,1,15.8,0.41,0.4,Midwest,Near
119,Kansas,Sep,1,13.6,0.46,0.31,Midwest,Near
120,Kentucky,Sep,1,17.56666667,0.44,0.43,South,Near
121,Louisiana,Sep,1,16.33333333,0.41,0.43,South,Near
122,Maine,Sep,1,13.5,0.36,0.47,Northeast,Near
123,9yland,Sep,1,19.1,0.31,0.55,South,Near
124,Massachusetts,Sep,1,22.46666667,0.27,0.56,Northeast,Near
125,Michigan,Sep,1,14.93333333,0.34,0.47,Midwest,Near
126,Minnesota,Sep,1,16.06666667,0.39,0.46,Midwest,Near
127,Mississippi,Sep,1,12.5,0.44,0.42,South,Near
128,Missouri,Sep,1,13.8,0.41,0.42,Midwest,Near
129,Montana,Sep,1,10.1,0.49,0.3,West,Near
130,Nebraska,Sep,1,14.7,0.47,0.36,Midwest,Near
131,Nevada,Sep,1,14.23333333,0.37,0.46,West,Near
132,New Hampshire,Sep,1,15.4,0.35,0.44,Northeast,Near
133,New Jersey,Sep,1,19.7,0.3,0.51,Northeast,Near
134,New Mexico,Sep,1,16.1,0.37,0.48,West,Near
135,New York,Sep,1,19.13333333,0.28,0.53,Northeast,Near
136,North Carolina,Sep,1,16.33333333,0.41,0.43,South,Near
137,North Dakota,Sep,1,15.3,0.5,0.33,Midwest,Near
138,Ohio,Sep,1,15.56666667,0.42,0.4,Midwest,Near
139,Oklahoma,Sep,1,13.2,0.45,0.4,South,Near
140,Oregon,Sep,1,13.36666667,0.32,0.47,West,Near
141,Pennsylvania,Sep,1,19.73333333,0.39,0.46,Northeast,Near
142,Rhode Island,Sep,1,18.2,0.3,0.48,Northeast,Near
143,South Carolina,Sep,1,14.8,0.43,0.39,South,Near
144,South Dakota,Sep,1,10.83333333,0.53,0.37,Midwest,Near
145,Tennessee,Sep,1,17.23333333,0.48,0.36,South,Near
146,Texas,Sep,1,18.4,0.39,0.4,South,Near
147,Utah,Sep,1,13.43333333,0.54,0.3,West,Near
148,Vermont,Sep,1,10.86666667,0.29,0.57,Northeast,Near
149,Virginia,Sep,1,20.6,0.43,0.39,South,Near
150,Washington,Sep,1,17,0.33,0.44,West,Near
151,West Virginia,Sep,1,12.76666667,0.43,0.41,South,Near
152,Wisconsin,Sep,1,13.96666667,0.42,0.42,Midwest,Near
153,Wyoming,Sep,1,8.4,0.57,0.25,West,Near
154,Alabama,Oct,1,37.7,0.52,0.35,South,Near
155,Alaska,Oct,1,33.53333333,0.39,0.32,West,Near
156,Arizona,Oct,1,34.4,0.4,0.39,West,Near
157,Arkansas,Oct,1,41.46666667,0.46,0.38,South,Near
158,California,Oct,1,39.06666667,0.3,0.49,West,Near
159,Colorado,Oct,1,43.76666667,0.41,0.42,West,Near
160,Connecticut,Oct,1,43.86666667,0.32,0.5,Northeast,Near
161,Delaware,Oct,1,40.26666667,0.29,0.55,South,Near
162,District of Columbia,Oct,1,47.7,NA,NA,South,Near
163,Florida,Oct,1,36.6,0.37,0.44,South,Near
164,Georgia,Oct,1,36.43333333,0.41,0.41,South,Near
165,Hawaii,Oct,1,40.16666667,0.28,0.51,West,Near
166,Idaho,Oct,1,30.86666667,0.49,0.32,West,Near
167,Illinois,Oct,1,37.9,0.33,0.48,Midwest,Near
168,Indiana,Oct,1,35.06666667,0.42,0.37,Midwest,Near
169,Iowa,Oct,1,44.03333333,0.41,0.4,Midwest,Near
170,Kansas,Oct,1,41.86666667,0.46,0.31,Midwest,Near
171,Kentucky,Oct,1,40.8,0.44,0.43,South,Near
172,Louisiana,Oct,1,34.96666667,0.41,0.43,South,Near
173,Maine,Oct,1,39.1,0.36,0.47,Northeast,Near
174,9yland,Oct,1,46.8,0.31,0.55,South,Near
175,Massachusetts,Oct,1,50.96666667,0.27,0.56,Northeast,Near
176,Michigan,Oct,1,36,0.34,0.47,Midwest,Near
177,Minnesota,Oct,1,42.2,0.39,0.46,Midwest,Near
178,Mississippi,Oct,1,30.1,0.44,0.42,South,Near
179,Missouri,Oct,1,33.63333333,0.41,0.42,Midwest,Near
180,Montana,Oct,1,36.13333333,0.49,0.3,West,Near
181,Nebraska,Oct,1,41.43333333,0.47,0.36,Midwest,Near
182,Nevada,Oct,1,32.26666667,0.37,0.46,West,Near
183,New Hampshire,Oct,1,42.13333333,0.35,0.44,Northeast,Near
184,New Jersey,Oct,1,44.63333333,0.3,0.51,Northeast,Near
185,New Mexico,Oct,1,40.93333333,0.37,0.48,West,Near
186,New York,Oct,1,41.9,0.28,0.53,Northeast,Near
187,North Carolina,Oct,1,38.06666667,0.41,0.43,South,Near
188,North Dakota,Oct,1,45.8,0.5,0.33,Midwest,Near
189,Ohio,Oct,1,37.23333333,0.42,0.4,Midwest,Near
190,Oklahoma,Oct,1,36.9,0.45,0.4,South,Near
191,Oregon,Oct,1,35.53333333,0.32,0.47,West,Near
192,Pennsylvania,Oct,1,45.2,0.39,0.46,Northeast,Near
193,Rhode Island,Oct,1,50.53333333,0.3,0.48,Northeast,Near
194,South Carolina,Oct,1,33.83333333,0.43,0.39,South,Near
195,South Dakota,Oct,1,40.36666667,0.53,0.37,Midwest,Near
196,Tennessee,Oct,1,40.7,0.48,0.36,South,Near
197,Texas,Oct,1,38.8,0.39,0.4,South,Near
198,Utah,Oct,1,37.3,0.54,0.3,West,Near
199,Vermont,Oct,1,34.86666667,0.29,0.57,Northeast,Near
200,Virginia,Oct,1,46.86666667,0.43,0.39,South,Near
201,Washington,Oct,1,40.6,0.33,0.44,West,Near
202,West Virginia,Oct,1,35.83333333,0.43,0.41,South,Near
203,Wisconsin,Oct,1,38.16666667,0.42,0.42,Midwest,Near
204,Wyoming,Oct,1,29.56666667,0.57,0.25,West,Near
205,Alabama,Nov,1,48,0.52,0.35,South,Near
206,Alaska,Nov,1,42.86666667,0.39,0.32,West,Near
207,Arizona,Nov,1,43.53333333,0.4,0.39,West,Near
208,Arkansas,Nov,1,54.33333333,0.46,0.38,South,Near
209,California,Nov,1,51.46666667,0.3,0.49,West,Near
210,Colorado,Nov,1,54.26666667,0.41,0.42,West,Near
211,Connecticut,Nov,1,60.36666667,0.32,0.5,Northeast,Near
212,Delaware,Nov,1,55.03333333,0.29,0.55,South,Near
213,District of Columbia,Nov,1,60.73333333,NA,NA,South,Near
214,Florida,Nov,1,45.16666667,0.37,0.44,South,Near
215,Georgia,Nov,1,45.26666667,0.41,0.41,South,Near
216,Hawaii,Nov,1,51.2,0.28,0.51,West,Near
217,Idaho,Nov,1,40.6,0.49,0.32,West,Near
218,Illinois,Nov,1,49.8,0.33,0.48,Midwest,Near
219,Indiana,Nov,1,46.13333333,0.42,0.37,Midwest,Near
220,Iowa,Nov,1,57.96666667,0.41,0.4,Midwest,Near
221,Kansas,Nov,1,55.4,0.46,0.31,Midwest,Near
222,Kentucky,Nov,1,54.96666667,0.44,0.43,South,Near
223,Louisiana,Nov,1,46.53333333,0.41,0.43,South,Near
224,Maine,Nov,1,53.8,0.36,0.47,Northeast,Near
225,9yland,Nov,1,61.4,0.31,0.55,South,Near
226,Massachusetts,Nov,1,65,0.27,0.56,Northeast,Near
227,Michigan,Nov,1,45.53333333,0.34,0.47,Midwest,Near
228,Minnesota,Nov,1,56.53333333,0.39,0.46,Midwest,Near
229,Mississippi,Nov,1,40.23333333,0.44,0.42,South,Near
230,Missouri,Nov,1,45.9,0.41,0.42,Midwest,Near
231,Montana,Nov,1,47.13333333,0.49,0.3,West,Near
232,Nebraska,Nov,1,56.7,0.47,0.36,Midwest,Near
233,Nevada,Nov,1,42.26666667,0.37,0.46,West,Near
234,New Hampshire,Nov,1,58.1,0.35,0.44,Northeast,Near
235,New Jersey,Nov,1,59.96666667,0.3,0.51,Northeast,Near
236,New Mexico,Nov,1,55.16666667,0.37,0.48,West,Near
237,New York,Nov,1,56.63333333,0.28,0.53,Northeast,Near
238,North Carolina,Nov,1,50.86666667,0.41,0.43,South,Near
239,North Dakota,Nov,1,58.16666667,0.5,0.33,Midwest,Near
240,Ohio,Nov,1,49.8,0.42,0.4,Midwest,Near
241,Oklahoma,Nov,1,46.6,0.45,0.4,South,Near
242,Oregon,Nov,1,48.06666667,0.32,0.47,West,Near
243,Pennsylvania,Nov,1,57.53333333,0.39,0.46,Northeast,Near
244,Rhode Island,Nov,1,66.83333333,0.3,0.48,Northeast,Near
245,South Carolina,Nov,1,46.46666667,0.43,0.39,South,Near
246,South Dakota,Nov,1,55.9,0.53,0.37,Midwest,Near
247,Tennessee,Nov,1,50.83333333,0.48,0.36,South,Near
248,Texas,Nov,1,49.73333333,0.39,0.4,South,Near
249,Utah,Nov,1,46.3,0.54,0.3,West,Near
250,Vermont,Nov,1,49,0.29,0.57,Northeast,Near
251,Virginia,Nov,1,60.53333333,0.43,0.39,South,Near
252,Washington,Nov,1,52.56666667,0.33,0.44,West,Near
253,West Virginia,Nov,1,46.5,0.43,0.41,South,Near
254,Wisconsin,Nov,1,50.93333333,0.42,0.42,Midwest,Near
255,Wyoming,Nov,1,38.7,0.57,0.25,West,Near
256,Alabama,Dec,1,52.3,0.52,0.35,South,Flu
257,Alaska,Dec,1,46.63333333,0.39,0.32,West,Flu
258,Arizona,Dec,1,49.6,0.4,0.39,West,Flu
259,Arkansas,Dec,1,57.8,0.46,0.38,South,Flu
260,California,Dec,1,55.13333333,0.3,0.49,West,Flu
261,Colorado,Dec,1,57.96666667,0.41,0.42,West,Flu
262,Connecticut,Dec,1,67.46666667,0.32,0.5,Northeast,Flu
263,Delaware,Dec,1,59.83333333,0.29,0.55,South,Flu
264,District of Columbia,Dec,1,65.93333333,NA,NA,South,Flu
265,Florida,Dec,1,49.13333333,0.37,0.44,South,Flu
266,Georgia,Dec,1,49.53333333,0.41,0.41,South,Flu
267,Hawaii,Dec,1,54.53333333,0.28,0.51,West,Flu
268,Idaho,Dec,1,44.2,0.49,0.32,West,Flu
269,Illinois,Dec,1,53.56666667,0.33,0.48,Midwest,Flu
270,Indiana,Dec,1,50.26666667,0.42,0.37,Midwest,Flu
271,Iowa,Dec,1,62.5,0.41,0.4,Midwest,Flu
272,Kansas,Dec,1,58.56666667,0.46,0.31,Midwest,Flu
273,Kentucky,Dec,1,58.13333333,0.44,0.43,South,Flu
274,Louisiana,Dec,1,51.66666667,0.41,0.43,South,Flu
275,Maine,Dec,1,58.63333333,0.36,0.47,Northeast,Flu
276,9yland,Dec,1,66.5,0.31,0.55,South,Flu
277,Massachusetts,Dec,1,72.06666667,0.27,0.56,Northeast,Flu
278,Michigan,Dec,1,50.1,0.34,0.47,Midwest,Flu
279,Minnesota,Dec,1,59.6,0.39,0.46,Midwest,Flu
280,Mississippi,Dec,1,43.96666667,0.44,0.42,South,Flu
281,Missouri,Dec,1,50.4,0.41,0.42,Midwest,Flu
282,Montana,Dec,1,50.76666667,0.49,0.3,West,Flu
283,Nebraska,Dec,1,61.46666667,0.47,0.36,Midwest,Flu
284,Nevada,Dec,1,46.56666667,0.37,0.46,West,Flu
285,New Hampshire,Dec,1,61.6,0.35,0.44,Northeast,Flu
286,New Jersey,Dec,1,65.6,0.3,0.51,Northeast,Flu
287,New Mexico,Dec,1,61.2,0.37,0.48,West,Flu
288,New York,Dec,1,62.93333333,0.28,0.53,Northeast,Flu
289,North Carolina,Dec,1,57.03333333,0.41,0.43,South,Flu
290,North Dakota,Dec,1,60.4,0.5,0.33,Midwest,Flu
291,Ohio,Dec,1,53,0.42,0.4,Midwest,Flu
292,Oklahoma,Dec,1,50.33333333,0.45,0.4,South,Flu
293,Oregon,Dec,1,52.76666667,0.32,0.47,West,Flu
294,Pennsylvania,Dec,1,62.9,0.39,0.46,Northeast,Flu
295,Rhode Island,Dec,1,71.9,0.3,0.48,Northeast,Flu
296,South Carolina,Dec,1,50.4,0.43,0.39,South,Flu
297,South Dakota,Dec,1,59.7,0.53,0.37,Midwest,Flu
298,Tennessee,Dec,1,55.6,0.48,0.36,South,Flu
299,Texas,Dec,1,54.33333333,0.39,0.4,South,Flu
300,Utah,Dec,1,50.8,0.54,0.3,West,Flu
301,Vermont,Dec,1,55.2,0.29,0.57,Northeast,Flu
302,Virginia,Dec,1,64,0.43,0.39,South,Flu
303,Washington,Dec,1,56.53333333,0.33,0.44,West,Flu
304,West Virginia,Dec,1,51.16666667,0.43,0.41,South,Flu
305,Wisconsin,Dec,1,54.76666667,0.42,0.42,Midwest,Flu
306,Wyoming,Dec,1,40.5,0.57,0.25,West,Flu
307,Alabama,Jan,1,55.6,0.52,0.35,South,Flu
308,Alaska,Jan,1,50.13333333,0.39,0.32,West,Flu
309,Arizona,Jan,1,52.96666667,0.4,0.39,West,Flu
310,Arkansas,Jan,1,60.7,0.46,0.38,South,Flu
311,California,Jan,1,59.2,0.3,0.49,West,Flu
312,Colorado,Jan,1,60.86666667,0.41,0.42,West,Flu
313,Connecticut,Jan,1,70.83333333,0.32,0.5,Northeast,Flu
314,Delaware,Jan,1,62.73333333,0.29,0.55,South,Flu
315,District of Columbia,Jan,1,68.56666667,NA,NA,South,Flu
316,Florida,Jan,1,51.56666667,0.37,0.44,South,Flu
317,Georgia,Jan,1,52.2,0.41,0.41,South,Flu
318,Hawaii,Jan,1,56.66666667,0.28,0.51,West,Flu
319,Idaho,Jan,1,46.9,0.49,0.32,West,Flu
320,Illinois,Jan,1,56.4,0.33,0.48,Midwest,Flu
321,Indiana,Jan,1,52.56666667,0.42,0.37,Midwest,Flu
322,Iowa,Jan,1,63.6,0.41,0.4,Midwest,Flu
323,Kansas,Jan,1,59.8,0.46,0.31,Midwest,Flu
324,Kentucky,Jan,1,61.1,0.44,0.43,South,Flu
325,Louisiana,Jan,1,54.56666667,0.41,0.43,South,Flu
326,Maine,Jan,1,60.9,0.36,0.47,Northeast,Flu
327,9yland,Jan,1,69.36666667,0.31,0.55,South,Flu
328,Massachusetts,Jan,1,74.23333333,0.27,0.56,Northeast,Flu
329,Michigan,Jan,1,52.2,0.34,0.47,Midwest,Flu
330,Minnesota,Jan,1,63.33333333,0.39,0.46,Midwest,Flu
331,Mississippi,Jan,1,46.46666667,0.44,0.42,South,Flu
332,Missouri,Jan,1,53.13333333,0.41,0.42,Midwest,Flu
333,Montana,Jan,1,52.66666667,0.49,0.3,West,Flu
334,Nebraska,Jan,1,65.7,0.47,0.36,Midwest,Flu
335,Nevada,Jan,1,48.66666667,0.37,0.46,West,Flu
336,New Hampshire,Jan,1,64.76666667,0.35,0.44,Northeast,Flu
337,New Jersey,Jan,1,68.5,0.3,0.51,Northeast,Flu
338,New Mexico,Jan,1,63.53333333,0.37,0.48,West,Flu
339,New York,Jan,1,66.1,0.28,0.53,Northeast,Flu
340,North Carolina,Jan,1,60.03333333,0.41,0.43,South,Flu
341,North Dakota,Jan,1,62,0.5,0.33,Midwest,Flu
342,Ohio,Jan,1,57.1,0.42,0.4,Midwest,Flu
343,Oklahoma,Jan,1,54.13333333,0.45,0.4,South,Flu
344,Oregon,Jan,1,56.13333333,0.32,0.47,West,Flu
345,Pennsylvania,Jan,1,66.46666667,0.39,0.46,Northeast,Flu
346,Rhode Island,Jan,1,75.2,0.3,0.48,Northeast,Flu
347,South Carolina,Jan,1,55,0.43,0.39,South,Flu
348,South Dakota,Jan,1,62.63333333,0.53,0.37,Midwest,Flu
349,Tennessee,Jan,1,58.16666667,0.48,0.36,South,Flu
350,Texas,Jan,1,57.6,0.39,0.4,South,Flu
351,Utah,Jan,1,54.03333333,0.54,0.3,West,Flu
352,Vermont,Jan,1,58,0.29,0.57,Northeast,Flu
353,Virginia,Jan,1,67.16666667,0.43,0.39,South,Flu
354,Washington,Jan,1,59.46666667,0.33,0.44,West,Flu
355,West Virginia,Jan,1,54.4,0.43,0.41,South,Flu
356,Wisconsin,Jan,1,56.1,0.42,0.42,Midwest,Flu
357,Wyoming,Jan,1,43.26666667,0.57,0.25,West,Flu
358,Alabama,Feb,1,58.76666667,0.52,0.35,South,Flu
359,Alaska,Feb,1,53.1,0.39,0.32,West,Flu
360,Arizona,Feb,1,54.46666667,0.4,0.39,West,Flu
361,Arkansas,Feb,1,63.13333333,0.46,0.38,South,Flu
362,California,Feb,1,61.23333333,0.3,0.49,West,Flu
363,Colorado,Feb,1,63.7,0.41,0.42,West,Flu
364,Connecticut,Feb,1,72.73333333,0.32,0.5,Northeast,Flu
365,Delaware,Feb,1,65.16666667,0.29,0.55,South,Flu
366,District of Columbia,Feb,1,70.8,NA,NA,South,Flu
367,Florida,Feb,1,52.9,0.37,0.44,South,Flu
368,Georgia,Feb,1,53.73333333,0.41,0.41,South,Flu
369,Hawaii,Feb,1,59.23333333,0.28,0.51,West,Flu
370,Idaho,Feb,1,48.56666667,0.49,0.32,West,Flu
371,Illinois,Feb,1,58.56666667,0.33,0.48,Midwest,Flu
372,Indiana,Feb,1,54.2,0.42,0.37,Midwest,Flu
373,Iowa,Feb,1,64.4,0.41,0.4,Midwest,Flu
374,Kansas,Feb,1,62,0.46,0.31,Midwest,Flu
375,Kentucky,Feb,1,61.6,0.44,0.43,South,Flu
376,Louisiana,Feb,1,55.66666667,0.41,0.43,South,Flu
377,Maine,Feb,1,62.03333333,0.36,0.47,Northeast,Flu
378,9yland,Feb,1,70.36666667,0.31,0.55,South,Flu
379,Massachusetts,Feb,1,77.86666667,0.27,0.56,Northeast,Flu
380,Michigan,Feb,1,54.43333333,0.34,0.47,Midwest,Flu
381,Minnesota,Feb,1,64.76666667,0.39,0.46,Midwest,Flu
382,Mississippi,Feb,1,48,0.44,0.42,South,Flu
383,Missouri,Feb,1,53.8,0.41,0.42,Midwest,Flu
384,Montana,Feb,1,53.3,0.49,0.3,West,Flu
385,Nebraska,Feb,1,67.53333333,0.47,0.36,Midwest,Flu
386,Nevada,Feb,1,49.46666667,0.37,0.46,West,Flu
387,New Hampshire,Feb,1,66.1,0.35,0.44,Northeast,Flu
388,New Jersey,Feb,1,70.26666667,0.3,0.51,Northeast,Flu
389,New Mexico,Feb,1,65.8,0.37,0.48,West,Flu
390,New York,Feb,1,68.1,0.28,0.53,Northeast,Flu
391,North Carolina,Feb,1,61.56666667,0.41,0.43,South,Flu
392,North Dakota,Feb,1,63.43333333,0.5,0.33,Midwest,Flu
393,Ohio,Feb,1,58.46666667,0.42,0.4,Midwest,Flu
394,Oklahoma,Feb,1,55.36666667,0.45,0.4,South,Flu
395,Oregon,Feb,1,59.23333333,0.32,0.47,West,Flu
396,Pennsylvania,Feb,1,68.43333333,0.39,0.46,Northeast,Flu
397,Rhode Island,Feb,1,77,0.3,0.48,Northeast,Flu
398,South Carolina,Feb,1,56.86666667,0.43,0.39,South,Flu
399,South Dakota,Feb,1,63.26666667,0.53,0.37,Midwest,Flu
400,Tennessee,Feb,1,60.56666667,0.48,0.36,South,Flu
401,Texas,Feb,1,60.43333333,0.39,0.4,South,Flu
402,Utah,Feb,1,54.93333333,0.54,0.3,West,Flu
403,Vermont,Feb,1,59.7,0.29,0.57,Northeast,Flu
404,Virginia,Feb,1,69.16666667,0.43,0.39,South,Flu
405,Washington,Feb,1,62.33333333,0.33,0.44,West,Flu
406,West Virginia,Feb,1,55.66666667,0.43,0.41,South,Flu
407,Wisconsin,Feb,1,58.16666667,0.42,0.42,Midwest,Flu
408,Wyoming,Feb,1,44.3,0.57,0.25,West,Flu
409,Alabama,Mar,1,59.66666667,0.52,0.35,South,Far
410,Alaska,Mar,1,54.6,0.39,0.32,West,Far
411,Arizona,Mar,1,55.53333333,0.4,0.39,West,Far
412,Arkansas,Mar,1,63.56666667,0.46,0.38,South,Far
413,California,Mar,1,63.06666667,0.3,0.49,West,Far
414,Colorado,Mar,1,64.06666667,0.41,0.42,West,Far
415,Connecticut,Mar,1,74.36666667,0.32,0.5,Northeast,Far
416,Delaware,Mar,1,65.7,0.29,0.55,South,Far
417,District of Columbia,Mar,1,72.73333333,NA,NA,South,Far
418,Florida,Mar,1,53.9,0.37,0.44,South,Far
419,Georgia,Mar,1,54.76666667,0.41,0.41,South,Far
420,Hawaii,Mar,1,59.76666667,0.28,0.51,West,Far
421,Idaho,Mar,1,49.06666667,0.49,0.32,West,Far
422,Illinois,Mar,1,59.9,0.33,0.48,Midwest,Far
423,Indiana,Mar,1,55.76666667,0.42,0.37,Midwest,Far
